word;value;type
abandon;2;
abandons;2;
abandoned;2;
absentee;1;
absentees;1;
aboard;1;
abducted;2;
abduction;2;
abductions;2;
abuse;3;
abused;3;
abuses;3;
accept;1;
accepting;1;
accepts;1;
accepted;1;
accident;2;
accidental;2;
accidentally;2;
accidents;2;
accomplish;2;
accomplished;2;
accomplishes;2;
accusation;2;
accusations;2;
accuse;2;
accused;2;
ache;2;
achievable;1;
acquitted;2;
admit;1;
admits;1;
admitted;1;
adopt;1;
adopts;1;
advanced;1;
affected;1;
afraid;2;
aggressive;2;
aggression;2;
aggressions;2;
agree;1;
agrees;1;
agreed;1;
alarm;2;
alarmist;2;
alarmists;2;
alas;1;
alert;1;
alienation;2;
alive;1;
allergic;2;
allow;1;
alone;2;
amazed;2;
amazing;4;
ambitious;2;
amuse;3;
amused;3;
amusement;3;
amusements;3;
anger;3;
angers;3;
annoy;2;
annoys;2;
annoying;2;
anti;1;
anxious;2;
anxiety;2;
apocalyptic;2;
appalling;2;
applauded;2;
applaudes;2;
applauding;2;
applause;2;
appreciation;2;
approval;2;
approved;2;
approves;2;
apologise;1;
apologised;1;
apologises;1;
apologising;1;
apology;1;
ardent;1;
arrest;2;
arrests;2;
arrested;3;
arrogant;2;
ashamed;2;
ass;4;
assassination;3;
assassinations;3;
asset;2;
assets;2;
asshole;4;
attack;1;
attacked;1;
attacking;1;
attacks;1;
attract;1;
attracts;1;
attracting;2;
attraction;2;
attractions;2;
avert;1;
averted;1;
averts;1;
avoid;1;
avoided;1;
avoids;1;
await;1;
awaited;1;
awaits;1;
award;3;
awarded;3;
awards;3;
awesome;4;
awful;3;
axe;1;
axed;1;
backed;1;
backing;2;
backs;1;
bad;3;
badly;3;
bailout;2;
bamboozle;2;
bamboozled;2;
bamboozles;2;
ban;2;
banish;1;
bankrupt;3;
bankster;3;
banned;2;
bargain;2;
barrier;2;
bastard;5;
bastards;5;
battle;1;
battles;1;
beating;1;
beautiful;3;
beloved;3;
benefit;2;
benefits;2;
best;3;
betrayal;3;
better;2;
big;1;
bitch;5;
bitches;5;
bizarre;2;
blah;2;
blame;2;
bless;2;
blind;1;
bliss;3;
block;1;
blockbuster;3;
blocked;1;
blocks;1;
blocking;1;
bloody;3;
bomb;1;
boost;1;
boosted;1;
boosting;1;
boosts;1;
bored;2;
boring;3;
bother;2;
boycott;2;
boycots;2;
boycotted;2;
boycotting;2;
brainwashing;3;
brave;2;
breathtaking;5;
breakthrough;3;
bribe;3;
brilliant;4;
broke;1;
broked;1;
broken;1;
bullshit;4;
bullied;2;
bully;2;
bullying;2;
bummer;2;
burden;2;
calm;2;
calmed;2;
calming;2;
calms;2;
cancel;1;
cancels;1;
cancer;1;
can't stand;3;
care;2;
carefree;1;
careful;2;
carefully;2;
cares;2;
catastrophic;4;
cashing in;2;
casualty;2;
celebrate;3;
celebrated;3;
celebrates;3;
celebrating;3;
censor;2;
censored;2;
censors;2;
certain;1;
challenge;1;
charges;2;
cheer;2;
cheerful;2;
cheering;2;
cheers;3;
cheery;3;
chilling;1;
clarifies;2;
clarity;2;
clash;2;
clean;2;
cleaner;2;
clear;1;
clears;1;
cleared;1;
clever;2;
chance;2;
chances;2;
chaos;2;
chaotic;2;
charged;3;
cheat;3;
cheater;3;
cheaters;3;
cheats;3;
cheated;3;
cheer;2;
cheers;2;
cheered;2;
cherish;2;
cherished;2;
cherishes;2;
cherishing;2;
clueless;2;
cock;5;
cocksucker;5;
collapse;2;
collapsed;2;
collapses;2;
collapsing;2;
collide;1;
collides;1;
colliding;1;
collision;2;
collisions;2;
colluding;3;
combat;1;
combats;1;
commend;2;
commended;2;
commit;1;
commitment;2;
committed;1;
committing;1;
commits;1;
comprehensive;2;
confidence;2;
conflict;2;
conflicting;2;
conflicts;2;
confusing;2;
confuse;2;
confused;2;
congrats;2;
congratulate;2;
congratulation;2;
congratulations;2;
conspiracy;3;
controversial;2;
controversially;2;
convince;1;
convinced;1;
convinces;1;
cool;1;
cool stuff;3;
corpse;1;
costly;2;
courtesy;2;
cover-up;3;
coziness;2;
cramp;1;
crap;3;
crash;2;
crazy;2;
creative;2;
cried;2;
crime;3;
criminal;3;
criminals;3;
crisis;3;
critic;2;
critics;2;
criticize;2;
criticized;2;
criticizes;2;
criticizing;2;
cruel;3;
cruelty;3;
cry;1;
crying;2;
cunt;5;
curse;1;
cut;1;
cute;2;
cuts;1;
cutting;1;
cynicism;2;
damage;3;
damages;3;
damn;4;
damned;4;
darkest;2;
demonstration;1;
danger;2;
dead;3;
deadlock;2;
dear;2;
dearly;3;
deafening;1;
death;2;
debt;2;
deceive;3;
deceived;3;
deceives;3;
deceiving;3;
deception;3;
defect;3;
defects;3;
defender;2;
